id,title,location,price,size,bedrooms,pet_friendly,description
5e2fab0a-3c5a-411b-8bbb-9b825cafce55,整租·旭江华庭 4室2厅 南,整租·旭江华庭,6500,126.02,4室2厅,False,整租·旭江华庭 4室2厅 南
604a4f6f-f51d-4947-95d1-a216506e9b3f,整租·五幸金座 1室1厅 东南,整租·五幸金座,1850,44.0,1室1厅,False,整租·五幸金座 1室1厅 东南
eec82ca6-97ac-4613-aa0d-a15902a36da2,整租·三花国际大厦 1室1厅 东南,整租·三花国际大厦,2900,46.6,1室1厅,False,整租·三花国际大厦 1室1厅 东南
b8d3878d-fa33-4a62-977d-c8c15ec5001f,独栋·华润置地·有巢公馆 萧山店 【央企直租】杭发厂站地铁口 套一整租12个月起租可月付 视野无遮挡 开间,独栋·华润置地·有巢公馆,2167,38.0,1室0厅,False,独栋·华润置地·有巢公馆 萧山店 【央企直租】杭发厂站地铁口 套一整租12个月起租可月付 视野无遮挡 开间
fc3561d8-5464-416e-9787-4ac30fd3963c,整租·盛元慧谷 3室1厅 南,整租·盛元慧谷,7100,142.99,3室1厅,False,整租·盛元慧谷 3室1厅 南
afb11f17-5ec5-4d8c-8413-e601d6058ee5,独栋·BetaHOME 萧山店 押一付一，独立厨卫，整租带阳台，五一节前特惠！！ 1室1厅,独栋·BetaHOME,2906,38.0,1室1厅,False,独栋·BetaHOME 萧山店 押一付一，独立厨卫，整租带阳台，五一节前特惠！！ 1室1厅
2f2160e5-bad1-4505-ac2d-69dbc895dc88,整租·白洋港城二期 4室1厅 南,整租·白洋港城二期,3000,89.51,4室1厅,False,整租·白洋港城二期 4室1厅 南
e3bed1c4-a023-481b-8cf3-8e31e740acc7,整租·小河路 2室1厅 南,整租·小河路,3000,59.68,2室1厅,False,整租·小河路 2室1厅 南
5819d910-604c-495d-a9bf-8d90030420ec,整租·汇宇花园 3室2厅 南/北,整租·汇宇花园,3700,151.08,3室2厅,False,整租·汇宇花园 3室2厅 南/北
0a2f2bef-1cd9-46db-aa1d-2ee05a32c5d4,独栋·聚英公寓 九堡店 围合式小区·宠物友好·方形阳台·带厨房间·民用水电 1室1厅,独栋·聚英公寓,2600,47.0,1室1厅,False,独栋·聚英公寓 九堡店 围合式小区·宠物友好·方形阳台·带厨房间·民用水电 1室1厅
101f15fb-fffa-43a9-a6ca-ead2f53ec1b3,整租·百大绿城西子国际 1室1厅 南,整租·百大绿城西子国际,3700,41.9,1室1厅,False,整租·百大绿城西子国际 1室1厅 南
392aeadd-7b31-4070-a1f1-71a3e141bd7f,独栋·上城里·玖居 九堡店 超大落地窗·整租一室独卫·不短租·实墙·毕业生优惠 开间,独栋·上城里·玖居,1645,26.26,1室0厅,False,独栋·上城里·玖居 九堡店 超大落地窗·整租一室独卫·不短租·实墙·毕业生优惠 开间
7dd56209-05a0-48e2-8bce-6e1e75d0575e,整租·景冉佳园 2室1厅 南,整租·景冉佳园,2800,62.0,2室1厅,False,整租·景冉佳园 2室1厅 南
2c5277ca-fc60-4cc0-9c57-5c38190f2631,独栋·华皙 贝壳新青年公寓河庄2店 金沙湖附近整租公寓，整租带阳光 1室1厅,独栋·华皙,1700,50.0,1室1厅,False,独栋·华皙 贝壳新青年公寓河庄2店 金沙湖附近整租公寓，整租带阳光 1室1厅
6dcf3275-98f9-49f0-8519-b92824b25b7f,整租·大园新城南区 1室1厅 东,整租·大园新城南区,1400,55.0,1室1厅,False,整租·大园新城南区 1室1厅 东
bf158dc0-c689-40ac-84c7-8ae1b1bc0aa5,独栋·华皙 华丰-启迪协信店 毕业生，免押金，压0付一精装网红房 1室1厅,独栋·华皙,1876,35.0,1室1厅,False,独栋·华皙 华丰-启迪协信店 毕业生，免押金，压0付一精装网红房 1室1厅
a3057fc3-64d7-4d21-842e-d8d796f242b4,独栋·华皙 宋城店 美院象山国美浙音可住 1室1厅,独栋·华皙,1450,50.0,1室1厅,False,独栋·华皙 宋城店 美院象山国美浙音可住 1室1厅
607947ca-3a5e-4db3-b676-6cb971e41394,整租·宸瀚里 3室2厅 东南,整租·宸瀚里,4000,100.0,3室2厅,False,整租·宸瀚里 3室2厅 东南
e051b94a-2c33-49ca-857e-d682c3dc8abf,独栋·华皙 汽轮广场地铁站店 超高性价比独卫单间 开间,独栋·华皙,1400,30.0,1室0厅,False,独栋·华皙 汽轮广场地铁站店 超高性价比独卫单间 开间
195b8dc8-cb45-44e9-9a38-deda879d17d7,整租·富春硅谷 1室1厅 南,整租·富春硅谷,1700,39.0,1室1厅,False,整租·富春硅谷 1室1厅 南
fad3ab05-0f28-4cee-a01a-03eb8668f0a2,整租·众安绿城南湖明月 4室2厅 南,整租·众安绿城南湖明月,3900,130.0,4室2厅,False,整租·众安绿城南湖明月 4室2厅 南
